Nazwa.przystanku,code
ARKADY (POWSTAŃCÓW ŚLĄSKICH,10233
ARKADY (ŚWIDNICKA),10233
BARDZKA/ARMII KRAJOWEJ,21013
BOYA ŻELEŃSKIEGO (BERENTA),
C.H. KORONA (KRZYWOUSTEGO WIADUKT),24107
D.A. BOROWSKA,11001
D.A. STAWOWA WIADUKT,11001
D.A. SUCHA,11001
D.A. SWOBODNA,11001
D.A. ŚLĘŻNA,11001
DRUKARSKA (KAMIENNA),11343
DWORSKA (PILCZYCKA),18536
DWORZEC ŚWIEBODZKI,10541
EUREKA (KOŁŁĄTAJA),11320
FAT (WIADUKT KOLEJOWY),11605
GALERIA DOMINIKAŃSKA (FOSA),10021
GAŁOWSKA (SAMOTWÓR),17733
GRABISZYŃSKA (ZAPOROSKA),10245
GRABISZYŃSKA CMENTARZ,11612
HALLERA/POWSTAŃCÓW ŚLĄSKICH,11209
HUBSKA/KAMIENNA,21123
JANA PAWŁA (PODWALE - AKADEMIA MUZYCZNA,10401
JANA PAWŁA II (MOST SIKORSKIEGO),10401
KAMIEŃSKIEGO/ŻMIGRODZKA,18005
KARKONOSKA,
KIEŁCZOWSKA CMENTARZ,29313
KIEŁCZOWSKA LZN,29313
KLECINA PĘTLA,16410
KOLBUSZOWSKA STADION,11525
KOLISTA (PILCZYCKA),12601
KOŚCIUSZKI/DWORCOWA,20263
KOWALE STACJA KOLEJOWA,24016
KRZELOWSKA (WILKSZYŃSKA),18725
KRZYKI (KRZYCKA),11215
KWIDZYŃSKA (KWIDZYŃSKA),24009
KWISKA (LEGNICKA),12205
LAS RATYŃSKI (GROMADZKA),18333
MAŚLICKA/BRODZKA,18506
MIELECKA (HALLERA),11453
MIRKÓW WOLNOŚCI,326901
MOST MILENIJNY - HALA ORBITA,23109
MOST MILENIJNY (OSOBOWICKA),23109
MOST OSOBOWICKI - KLECZKOWSKA,23001
MOST POKOJU - URZĄD WOJEWÓDZKI,20281
MOST POMORSKI,10601
MOST SWOJCZYCKI - MONOPOLOWA,
MOST TRZEBNICKI - TRZEBNICKA,20617
MOST UNIWERSYTECKI,1015
MOST ZWIERZYNIECKI - KLINIKI,20817
MOSTY JAGIELOŃSKIE - ZACISZE,
MROŹNA (SZEWCZENKI),29305
NA OSTATNIM GROSZU (ORLIŃSKIEGO),12511
NOWODWORSKA (STRZEGOMSKA),12109
OBORNICKA OBWODNICA (TARGI PIAST),23154
OŁTASZYŃSKA,26314
OŁTASZYŃSKA/ZWYCIĘSKA,26314
PIŁSUDSKIEGO/KOMANDORSKA,10375
PL.DANIŁOWSKIEGO (PRZYBYSZEWSKIEGO),23717
PL.GRUNWALDZKI (wylot na most Grunwaldzki),20815
PL.GRUNWALDZKI (wylot na most Zwierzyniecki),20815
"PL.GRUNWALDZKI (wylot na Piastowską, oś Grunwaldzką, most Szczytnicki)",20815
"PL.GRUNWALDZKI (wylot od Szczytnickiej, Reja)",20815
PLAC BEMA,20621
PLAC JANA PAWŁA II (LEGNICKA),10401
PLAC LEGIONÓW (GRABISZYŃSKA),10243
PLAC WRÓBLEWSKIEGO,20201
PODWALE (KOMUNY PARYSKIEJ - DWORCOWA),20261
POLA (KASPROWICZA),23133
POŁABIAN (CZEKOLADOWA),16720
POPOWICKA STACJA KOLEJOWA,10519
POWSTAŃCÓW ŚLĄSKICH/HALLERA,11209
PRZYSTANKOWA (GROTA ROWECKIEGO),26301
PUŁASKIEGO WIADUKT KOLEJOWY,20261
PUŁASKIEGO/KOMUNY PARYSKIEJ,20261
RADWANICE SKRAJNA,
ROD BAJKI (BOROWSKA),21103
RONDO ROTMISTRZA PILECKIEGO,11205
RYNEK (KAZIMIERZA WIELKIEGO/KRUPNICZA),1003
STALOWA (GRABISZYŃSKA),11403
ŚWINIARY,23515
ŚWISTACKIEGO (KOŚCIUSZKI),20324
TRAMWAJOWA (OLSZEWSKIEGO),24408
TWARDOGÓRSKA (KAMIEŃSKIEGO),23551
WEJHEROWSKA (WEJHEROWSKA),12315
WIŚNIOWA/ŚLĘŻNA,11233
WROZAMET,
WYŚCIGOWA WIADUKT KOLEJOWY,16521
ZACHODNIA STACJA KOLEJOWA,10407
ZAKRZOWSKA (WIADUKT KOLEJOWY),29501
ZALEWOWA (OPATOWICKA),25513
