"Kierunek","kierunek_lc"
"",""
"Aleja Piastów","aleja piastów"
"ALEJA PIASTÓW","aleja piastów"
"Al. Piastów","al. piastów"
"AL. PIASTÓW","al. piastów"
"Al. Piastów ","al. piastów "
"Al. Piastów A/125(17124)","al. piastów a/125(17124)"
"AUCHAN","auchan"
"AUCHAN 133(716718)","auchan 133(716718)"
"Bałtycka PnW/a(23147)","bałtycka pnw/a(23147)"
"BARDZKA W/a(21145)","bardzka w/a(21145)"
"BARTOSZOWICE","bartoszowice"
"BARTOSZOWICE ","bartoszowice "
"BARTOSZOWICE E/146(24509)","bartoszowice e/146(24509)"
"Bielawa","bielawa"
"BIELAWA","bielawa"
"Bielawa Z/a(326160)","bielawa z/a(326160)"
"Bieńkowice","bieńkowice"
"BIEŃKOWICE","bieńkowice"
"BIEŃKOWICE pętla(25314)","bieńkowice pętla(25314)"
"Biskupice","biskupice"
"Biskupice Podgórne LG Display W/a(716101)","biskupice podgórne lg display w/a(716101)"
"Biskupice Podgórne LG Electronics Z/a(716106)","biskupice podgórne lg electronics z/a(716106)"
"Biskupin","biskupin"
"BISKUPIN","biskupin"
"BISKUPIN ","biskupin "
"BiSKUPIN 1/2/4..(24416)","biskupin 1/2/4..(24416)"
"BISKUPIN 1/2/4::(24416)","biskupin 1/2/4::(24416)"
"BISKUPIN 1/2/4..(24416)","biskupin 1/2/4..(24416)"
"Biskupin  ","biskupin  "
"Blacharska","blacharska"
"BLACHARSKA","blacharska"
"BLACHARSKA 119(11747)","blacharska 119(11747)"
"BLIZANOWICE","blizanowice"
"BLIZANOWICE 120(524954)","blizanowice 120(524954)"
"Brochów","brochów"
"BROCHÓW","brochów"
"BROCHÓW 114/125(25309)","brochów 114/125(25309)"
"BRZEIA ŁĄKA","brzeia łąka"
"Brzezia Łaka","brzezia łaka"
"BRZEZIA ŁĄKA","brzezia łąka"
"Brzezia Łąka - Główna","brzezia łąka - główna"
"Brzezia Łąka - Główna Z/a(326142)","brzezia łąka - główna z/a(326142)"
"BRZEZINA - pętla","brzezina - pętla"
"BRZEZINA - pętla 917/923(911913)","brzezina - pętla 917/923(911913)"
"Centrum hurtu","centrum hurtu"
"CENTRUM HURTU","centrum hurtu"
"Centrum Hurtu ul. Giełdowa","centrum hurtu ul. giełdowa"
"CENTRUM HURTU UL. GIEŁDOWA","centrum hurtu ul. giełdowa"
"CENTRUM HURTU UL. GIEŁDOWA ","centrum hurtu ul. giełdowa "
"CENTRUM HURTU UL. GIEŁDOWA pętla","centrum hurtu ul. giełdowa pętla"
"CENTRUM HURTU UL. GIEŁDOWA pętla(17119)","centrum hurtu ul. giełdowa pętla(17119)"
"CENTRUM HURTU UL. GIEŁDOWA pętla 17119)","centrum hurtu ul. giełdowa pętla 17119)"
"Centrum Hurtu - ul. Giełdowa","centrum hurtu - ul. giełdowa"
"CH KORONA","ch korona"
"Daniłowskiego","daniłowskiego"
"DEORZEC GŁÓWNY PKP","deorzec główny pkp"
"DOKERSKA","dokerska"
"Dokerska PdW/t(12410)","dokerska pdw/t(12410)"
"Dokerska PdW/t(12610)","dokerska pdw/t(12610)"
"Domaszczyn","domaszczyn"
"DOMASZCZYN","domaszczyn"
"DOMASZCZYN ","domaszczyn "
"DOMASZCZYN W/a(329118)","domaszczyn w/a(329118)"
"DOMASZCZYN Z/a(329119)","domaszczyn z/a(329119)"
"DO WROCŁAW","do wrocław"
"DO ZAJEZDNI BOREK","do zajezdni borek"
"Do zajezdni Ołbin","do zajezdni ołbin"
"Dw.GłównyPKP","dw.głównypkp"
"Dworcowa","dworcowa"
"DWORCOWA ","dworcowa "
"DWORCOWA 406(20343)","dworcowa 406(20343)"
"DWORCOWA 409(20339)","dworcowa 409(20339)"
"Dworzec","dworzec"
"DWORZEC AUTOBUSOWY PERON","dworzec autobusowy peron"
"DWORZEC AUTOBUSOWY PERON 2(41119)","dworzec autobusowy peron 2(41119)"
"DWORZEC AUTOBUSOWY PERON 3(41100)","dworzec autobusowy peron 3(41100)"
"DWORZEC AUTOBUSOWY PERON 3(41120)","dworzec autobusowy peron 3(41120)"
"Dworzec Gl. PKP","dworzec gl. pkp"
"Dworzec Głowny PKP","dworzec głowny pkp"
"DWORZEC GŁÓWNY","dworzec główny"
"Dworzec Główny PKP","dworzec główny pkp"
"DWORZEC GŁÓWNY PKP","dworzec główny pkp"
"DWORZEC GŁ. PKP","dworzec gł. pkp"
"DWORZEC GŁ. PKP ","dworzec gł. pkp "
"DWORZEC GŁ. PKP 110/135(21122)","dworzec gł. pkp 110/135(21122)"
"DWORZEC GŁ. PKP 112/113(20362)","dworzec gł. pkp 112/113(20362)"
"DWORZEC GŁ. PKP N(20352)","dworzec gł. pkp n(20352)"
"DWORZEC GŁ. PKP Pn/a(20364)","dworzec gł. pkp pn/a(20364)"
"DWORZEC GŁ. PKP W/t(10268)","dworzec gł. pkp w/t(10268)"
"DWORZEC GŁ. PKP Z/t(20267)","dworzec gł. pkp z/t(20267)"
"Dworzec Nadodrze","dworzec nadodrze"
"DWORZEC NADODRZE","dworzec nadodrze"
"DWORZEC NADODRZE ","dworzec nadodrze "
"DWORZEC NADODRZE 908(20715)","dworzec nadodrze 908(20715)"
"DWORZEC NADODRZE petlaOP(20619)","dworzec nadodrze petlaop(20619)"
"DWORZEC NADODRZE pętla0L(20620)","dworzec nadodrze pętla0l(20620)"
"DWORZEC NADODRZE pętla0P(20619)","dworzec nadodrze pętla0p(20619)"
"DWORZEC NADODRZE pętlaOP(20619)","dworzec nadodrze pętlaop(20619)"
"DWORZEC NADODRZE W/t(20609)","dworzec nadodrze w/t(20609)"
"DWORZEC NADODRZE Z/t(20616)","dworzec nadodrze z/t(20616)"
