"stop_name";"stop_code";"Nazwa.przystanku"
"Kochanowskiego";24201;"KOCHANOWSKIEGO"
"Wyszyńskiego";20721;"WYSZYŃSKIEGO"
"Wschowska";18009;"WSCHOWSKA"
"Metalowców";12503;"METALOWCÓW"
"Bałtycka";23010;"BAŁTYCKA"
"Mosty Warszawskie";20630;"MOSTY WARSZAWSKIE"
"Mostostal";21161;"MOSTOSTAL"
"Mosty Warszawskie";20629;"MOSTY WARSZAWSKIE"
"Bałtycka";23144;"BAŁTYCKA"
"Karwińska";25010;"KARWIŃSKA"
"Mosty Warszawskie";20730;"MOSTY WARSZAWSKIE"
"Krucza";11511;"KRUCZA"
"Wschowska";18010;"WSCHOWSKA"
"POLANOWICE";23557;"POLANOWICE"
"Na Niskich Łąkach";120215;"NA NISKICH ŁĄKACH"
"Wiaduktowa";25301;"WIADUKTOWA"
"Bystrzycka";12544;"BYSTRZYCKA"
"Na Niskich Łąkach";20326;"NA NISKICH ŁĄKACH"
"Krzemieniecka";17307;"KRZEMIENIECKA"
"Park Wschodni";125008;"PARK WSCHODNI"
"Stabłowice";18127;"STABŁOWICE"
"Wiejska";17103;"WIEJSKA"
"Krucza";11522;"KRUCZA"
"Wyszyńskiego";120670;"WYSZYŃSKIEGO"
"mosty Mieszczańskie";10650;"MOSTY MIESZCZAŃSKIE"
"Bałtycka";23147;"BAŁTYCKA"
"Radio i Telewizja";16402;"RADIO I TELEWIZJA"
"Metalowców";12407;"METALOWCÓW"
"Wyszyńskiego";120669;"WYSZYŃSKIEGO"
"DWORZEC NADODRZE";20620;"DWORZEC NADODRZE"
"mosty Mieszczańskie";10649;"MOSTY MIESZCZAŃSKIE"
"DWORZEC NADODRZE";120615;"DWORZEC NADODRZE"
"Wiejska";17104;"WIEJSKA"
"Na Niskich Łąkach";20205;"NA NISKICH ŁĄKACH"
"ŻAR";18346;"ŻAR"
"Metalowców";12504;"METALOWCÓW"
"Na Niskich Łąkach";20206;"NA NISKICH ŁĄKACH"
"Na Niskich Łąkach";20315;"NA NISKICH ŁĄKACH"
"DWORZEC NADODRZE";20715;"DWORZEC NADODRZE"
"Widawa";23535;"WIDAWA"
