"stop_code";"reg";"Nazwa.przystanku";"hour";"nap_sum"
24201;31;"KOCHANOWSKIEGO";"05";615
24201;31;"KOCHANOWSKIEGO";"06";1784
24201;31;"KOCHANOWSKIEGO";"07";NA
24201;31;"KOCHANOWSKIEGO";"08";3242
24201;31;"KOCHANOWSKIEGO";"09";NA
24201;31;"KOCHANOWSKIEGO";"10";NA
24201;31;"KOCHANOWSKIEGO";"11";NA
24201;31;"KOCHANOWSKIEGO";"12";NA
24201;31;"KOCHANOWSKIEGO";"13";NA
24201;31;"KOCHANOWSKIEGO";"14";NA
24201;31;"KOCHANOWSKIEGO";"15";NA
24201;31;"KOCHANOWSKIEGO";"16";NA
24201;31;"KOCHANOWSKIEGO";"17";NA
24201;31;"KOCHANOWSKIEGO";"18";3375
24201;31;"KOCHANOWSKIEGO";"19";NA
24201;31;"KOCHANOWSKIEGO";"20";1846
24201;31;"KOCHANOWSKIEGO";"21";1506
24201;31;"KOCHANOWSKIEGO";"22";NA
18009;28;"WSCHOWSKA";"05";315
18009;28;"WSCHOWSKA";"06";1491
18009;28;"WSCHOWSKA";"07";1903
18009;28;"WSCHOWSKA";"08";1229
18009;28;"WSCHOWSKA";"09";1224
18009;28;"WSCHOWSKA";"10";1299
18009;28;"WSCHOWSKA";"11";1339
18009;28;"WSCHOWSKA";"12";1237
18009;28;"WSCHOWSKA";"13";1340
18009;28;"WSCHOWSKA";"14";1391
18009;28;"WSCHOWSKA";"15";1850
18009;28;"WSCHOWSKA";"16";1461
18009;28;"WSCHOWSKA";"17";1221
18009;28;"WSCHOWSKA";"18";1126
18009;28;"WSCHOWSKA";"19";853
18009;28;"WSCHOWSKA";"20";634
18009;28;"WSCHOWSKA";"21";541
18009;28;"WSCHOWSKA";"22";433
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"05";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"06";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"07";5222
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"08";4373
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"09";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"10";4272
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"11";4621
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"12";5105
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"13";5059
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"14";5549
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"15";3936
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"16";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"17";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"18";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"19";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"20";1985
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"21";NA
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"22";1232
12109;36;"NOWODWORSKA (STRZEGOMSKA)";"23";20
26314;77;"OŁTASZYŃSKA";"06";9
26314;77;"OŁTASZYŃSKA";"07";4
26314;77;"OŁTASZYŃSKA";"08";7
26314;77;"OŁTASZYŃSKA";"09";10
26314;77;"OŁTASZYŃSKA";"10";21
26314;77;"OŁTASZYŃSKA";"11";10
26314;77;"OŁTASZYŃSKA";"12";14
26314;77;"OŁTASZYŃSKA";"13";19
26314;77;"OŁTASZYŃSKA";"14";75
26314;77;"OŁTASZYŃSKA";"15";36
26314;77;"OŁTASZYŃSKA";"16";39
26314;77;"OŁTASZYŃSKA";"17";44
26314;77;"OŁTASZYŃSKA";"18";45
26314;77;"OŁTASZYŃSKA";"19";49
